no,candidate_id,title,theme,asset_type,predicted_score
1,e35fdb65-5622-49ea-ab9f-2cebc7cd218f,プロンプトを100回直した。悪かったのはコードじゃなくJSONの粒度だった,AI活用,実践記録,96
2,d595cd65-55d5-4c76-86ad-ccbed2327f55,5000行書いた。最後に『案件を評価するツール』を作るのをやめた,コンテンツ設計,実践記録,96
3,239ae715-64d0-41f2-9d50-049025fd152f,案件スコア78でも俺は捨てた――creator_fitが22だったから,案件評価,実践記録,95
4,e26e2928-e06e-445b-8610-332324180091,推定 vs 推定を100件積んだら学習データが全壊した話,システム設計,実践記録,95
5,ab3ca84c-067b-4e30-a535-c71be29ef7d2,13案件にスコアをつけた。『案件を選ぶ前にテーマを選べ』が結論だった,案件評価,実践記録,94
6,2ee64c23-d7a4-45f5-be18-9ed214e67435,Claude Codeに自分のJSONを渡したら、初めて『俺だけの候補』が出てきた,AI活用,体験談,94
7,159a738b-4645-425c-aed8-9c78e0178bdb,seed_rate=82という評価スコアを実績と比較しようとして、設計が全部壊れた,システム設計,実践記録,94
8,04c87e5c-d648-43cd-b315-18dfc99b896b,AIに13案件を評価させたら、俺が語れない案件だけ高スコアを出してきた,案件評価,体験談,93
9,3964a256-17a3-4ec4-8887-ca84cd01bdbb,AIはミラーだった――抽象的なプロンプトを入れ続けた3週間と、JSONを構造化した1日の差,AI活用,実践記録,93
10,924efd85-0856-4a0b-b6ab-215fec007f08,Claude Codeで5000行書いた俺が、入力データの構造化だけ先にやるべきだったと気づくまで,AI活用,体験談,93
11,22b90dea-d929-47ab-af83-d970461d77b1,PVは消費、種は投資だった――コンテンツを『次のネタを生む力』で評価するようになった日,コンテンツ設計,体験談,93
12,c4e0d9e4-d548-4ce2-b65a-938635d29c3a,アフィリエイト案件評価システムを作ったのに、一番使う機能は案件と無関係だった,コンテンツ設計,実践記録,93
13,60fd8c8b-5279-4148-bda8-7bab1c667f3b,有益な投稿なのに伸びない――毎週100件の有益ツイートを分析して気づいた逆説,SNS運用,実践記録,93
14,8aad2792-d949-42a4-a13e-bab04c4d7f94,無料記事を増やした週、有料購読が動いた――noteの収益を決めるのは有料じゃなかった,note運営,実践記録,93
15,659b7464-8788-4008-9c64-f5b89b444ab8,品質完璧な商品が集客ゼロで全く売れなかった――副業1年目に俺がやった致命的な順序ミス,副業,体験談,93
16,6a371f14-6a4c-42a4-ab57-fb04e736c6d8,AIに自分の一次情報を渡す方法――creator_profile.jsonの設計と粒度を上げた実際の手順,AI活用,ノウハウ/How-to,92
17,6dec969e-7d5e-4526-bbc6-0dfd51950deb,観測不可能な指標でシステムを評価していた俺が、設計を全面変更するまでの思考プロセス,システム設計,体験談,92
18,2be2f8ed-936f-40e6-be85-b84980c0e448,次のネタを生む種を積む設計――Candidate Engineが案件評価エンジンより重要だった理由,コンテンツ設計,フレームワーク/法則,92
19,c91c8c70-af49-4d1d-b325-c56be80be9ac,毎日投稿をやめて週3に減らした週、俺のSNSは加速した,SNS運用,体験談,92
20,f4a77c46-2d58-4273-8211-525adee637f3,SEOで上位表示されても購読に繋がらなかった。SNSフォロワー導線に全振りした記録,note運営,実践記録,92
21,e65badf4-d9c5-4de9-9769-b3b652f11cee,副業収入が月5万円でも、会社を辞められる精神的余裕が年収100万円より価値が大きかった話,副業,体験談,92
