query,clicks,impressions,ctr,position
30歳以上 ワーホリ,0,2,0,61
ai 英語 力,0,1,0,50
present 出席,0,1,0,46
present 意味 出席,0,1,0,46
presentate,0,1,0,64
toeic 600点 取れない,0,2,0,27
toeic リスニング 伸び ない,0,2,0,41.5
コアイメージ,0,1,0,11
コアイメージとは,0,19,0,8.9
ハツオン 口コミ,0,1,0,21
フィリピン 留学 相談,0,1,0,77
フィリピン 留学 社会人,0,5,0,73.8
フィリピン留学 社会人,0,4,0,74.2
プレゼント 現在,0,1,0,24
ワーホリ 費用 カナダ,0,1,0,100
文字起こし 英語 比較,0,1,0,82
留学 エージェント 悪質,0,4,0,36.5
留学エージェント 悪質,0,10,0,39.8
留学エージェント 手数料 無料 罠,0,1,0,14
英会話 上達しない,0,1,0,50
英会話教室 上達しない,0,1,0,59
英語 コーチング 高 すぎる,0,1,0,89
英語コーチング 意味ない,0,15,0,40.4
