query,clicks,impressions,ctr,position
英語 コアイメージ,2,3,0.6667,14.7
英単語コアイメージ,1,1,1,19
10/4 英検,0,4,0,10.5
30歳 ワーホリ,0,1,0,42
30歳以上 ワーホリ,0,8,0,63.9
ai 英語 力,0,1,0,50
come to go to 違い,0,1,0,74
get off take off 違い,0,1,0,20
get over it 意味,0,3,0,66
get over there 意味,0,1,0,64
get over 信じられない,0,1,0,10
get over 意味,0,1,0,58
go back on なぜ,0,6,0,9
go come,0,3,0,76.3
go off コアイメージ,0,1,0,11
hold 開催する なぜ,0,2,0,9.5
hot spring なぜ,0,33,0,7.1
hot 辛い,0,1,0,10
if present 意味,0,1,0,53
present なぜ現在,0,1,0,11
present イメージ,0,1,0,10
present コアイメージ,0,15,0,7.7
present 出席,0,1,0,46
present 意味 出席,0,2,0,37.5
present 現在,0,1,0,64
present 現在 贈り物,0,1,0,11
present 語源,0,1,0,22
presentate,0,1,0,64
put on take off なぜ,0,1,0,11
put on the scale,0,1,0,49
put on weight,0,1,0,23
sakura speek,0,1,0,2
spring up なぜ,0,9,0,8.7
spring ばね,0,1,0,8
spring 泉,0,11,0,9.9
take off なぜ,0,1,0,10
take コア イメージ,0,2,0,57.5
taken off 意味,0,1,0,71
toeic リスニング 伸び ない,0,9,0,33.6
took off 意味,0,1,0,79
took off意味,0,1,0,52
オンライン英会話 続かない,0,1,0,70
コアイメージ,0,3,0,14
コアイメージとは,0,29,0,9.4
コスパ重視 留学,0,2,0,75.5
セブ島 留学 エージェント 無料,0,1,0,60
ハツオン 口コミ,0,6,0,16.2
フィリピン 留学 相談,0,1,0,77
フィリピン 留学 社会人,0,5,0,73.8
フィリピン留学 社会人,0,4,0,74.2
プレゼント 現在,0,18,0,9.4
ワーキングホリデー 何歳まで,0,1,0,90
ワーキングホリデー何歳まで,0,1,0,90
ワーホリ 30代,0,1,0,55
ワーホリ 30歳以上,0,1,0,54
ワーホリ 何 歳 まで,0,1,0,95
ワーホリ 何年間,0,1,0,65
ワーホリ 何歳まで,0,1,0,50
ワーホリ 費用 カナダ,0,1,0,100
ワーホリ30歳以上,0,1,0,54
取る 英語,0,1,0,46
文字起こし 英語 比較,0,2,0,82
来る 英語,0,1,0,44
板 バネ 英語,0,1,0,46
留学エージェント 悪質,0,1,0,41
留学エージェント 手数料 無料 罠,0,1,0,14
英 単語 イメージ,0,2,0,52.5
英会話 上達しない,0,1,0,50
英会話教室 上達しない,0,1,0,59
英単語 イメージ,0,4,0,49.5
英単語 コアイメージ,0,1,0,18
英検 10/4,0,1,0,11
英語 イメージ,0,1,0,51
英語 コアイメージ 意味 ない,0,18,0,9.4
英語 コーチング 高 すぎる,0,1,0,89
英語イメージ,0,1,0,49
英語コアイメージ,0,2,0,11
英語コーチング 意味ない,0,13,0,39.4
音楽をかける 英語,0,1,0,11
