url,clicks,impressions,ctr,position
https://sakura-eigo.com/core-image-english-words/,3,106,0.0283,13.0
https://sakura-eigo.com/spring-core-image/,2,219,0.0091,7.8
https://sakura-eigo.com/come-core-image/,1,44,0.0227,16.6
https://sakura-eigo.com/,0,5,0,1.4
https://sakura-eigo.com/%E3%80%8C%E3%82%BB%E3%83%96%E5%B3%B6%E7%95%99%E5%AD%A6-1%E3%83%B6%E6%9C%88-%E4%BD%93%E9%A8%93%E3%80%8D%E3%81%A7%E4%B8%A6%E3%81%B6%E8%B2%BB%E7%94%A8%E3%83%BB%E3%82%B9%E3%82%B1%E3%82%B8%E3%83%A5/,0,1,0,26
https://sakura-eigo.com/%E3%80%8C%E3%83%AF%E3%83%BC%E3%83%9B%E3%83%AA-30%E6%AD%B3-%E9%96%93%E3%81%AB%E5%90%88%E3%81%86%E3%81%8B%E3%80%8D%E3%81%A7%E4%B8%A6%E3%81%B6%E3%82%AE%E3%83%AA%E3%83%9B%E3%83%AA%E3%83%BB%E5%9B%BD/,0,1,0,11
https://sakura-eigo.com/%E3%80%8C%E7%95%99%E5%AD%A6%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88-%E7%84%A1%E6%96%99-%E4%BB%95%E7%B5%84%E3%81%BF%E3%80%8D%E3%81%A7%E5%87%BA%E3%81%A6%E3%81%8F%E3%82%8B%E5%AD%A6/,0,1,0,8
https://sakura-eigo.com/%E3%80%8C%E8%8B%B1%E8%AA%9E%E3%82%B3%E3%83%BC%E3%83%81%E3%83%B3%E3%82%B0-%E6%84%8F%E5%91%B3%E3%81%AA%E3%81%84%E3%80%8D%E3%81%A7%E4%B8%A6%E3%81%B6%E9%AB%98%E3%81%84%E3%83%BB%E7%B5%90%E5%B1%80/,0,14,0,42.9
https://sakura-eigo.com/%E3%80%8C%E8%8B%B1%E8%AA%9E-%E5%8B%89%E5%BC%B7-%E3%83%A2%E3%83%81%E3%83%99-%E4%B8%8A%E3%81%92%E3%82%8B-%E6%96%B9%E6%B3%95%E3%80%8D%E3%81%A7%E4%B8%A6%E3%81%B6%E7%9B%AE%E6%A8%99%E8%A8%AD%E5%AE%9A/,0,1,0,11
https://sakura-eigo.com/%E3%83%97%E3%83%A9%E3%82%A4%E3%83%90%E3%82%B7%E3%83%BC%E3%83%9D%E3%83%AA%E3%82%B7%E3%83%BC/,0,5,0,8.4
https://sakura-eigo.com/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB/,0,7,0,4.4
https://sakura-eigo.com/adult-english-pronunciation-age/,0,3,0,8
https://sakura-eigo.com/ai-eikaiwa-vs-online-eikaiwa/,0,1,0,19
https://sakura-eigo.com/ai-era-english-how-far/,0,5,0,18.4
https://sakura-eigo.com/articles/,0,6,0,2.5
https://sakura-eigo.com/callan-method-three-things-check/,0,1,0,7
https://sakura-eigo.com/canada-working-holiday-cost/,0,2,0,50.5
https://sakura-eigo.com/category/%E6%B5%B7%E5%A4%96%E7%95%99%E5%AD%A6%E3%83%BB%E3%83%AF%E3%83%BC%E3%83%9B%E3%83%AA/,0,1,0,6
https://sakura-eigo.com/category/%E8%8B%B1%E8%AA%9E%E3%82%B3%E3%83%BC%E3%83%81%E3%83%B3%E3%82%B0/,0,1,0,10
https://sakura-eigo.com/category/ai-english/,0,1,0,8
https://sakura-eigo.com/category/ryugaku-agent-cost/,0,2,0,64.5
https://sakura-eigo.com/category/toeic-score/,0,1,0,3
https://sakura-eigo.com/cebu-1month-review/,0,5,0,9.4
https://sakura-eigo.com/cebu-beginner-mistakes-design/,0,1,0,3
https://sakura-eigo.com/cheap-english-learning-apps-free/,0,11,0,8.2
https://sakura-eigo.com/dmm-eikaiwa-beginner-consistency-check/,0,3,0,28.7
https://sakura-eigo.com/domestic-immersion-english-continuous-learning/,0,1,0,8
https://sakura-eigo.com/eikaiwa-not-improving-reasons/,0,2,0,54.5
https://sakura-eigo.com/eiken-adult-second-exam-schedule/,0,23,0,12.0
https://sakura-eigo.com/english-coaching-after-graduation/,0,2,0,10.5
https://sakura-eigo.com/english-meeting-transcription-checklist/,0,5,0,37
https://sakura-eigo.com/english-self-study-procrastination-30s/,0,1,0,6
https://sakura-eigo.com/free-study-abroad-agent-bias/,0,2,0,27.5
https://sakura-eigo.com/get-core-image/,0,1,0,1
https://sakura-eigo.com/get-over-core-image/,0,20,0,23.8
