id,bucket,bucket_name,score,title,impressions,clicks,position,gsc_known,inbound_links,cta_count,has_artifact,artifact,stale,topic,cluster_n,cluster_risk,siblings,article_role,cta_role,caveat_mode,fact_risk,cta_issues,stale_finding,url
137,3,`partial_restructure`（部分再構成）,60,英語コーチングの体験談は、到達点の写真かその後の傾きかで読み分ける,0,0,0.0,True,0,2,True,台帳: 体験談の読み分けフィルタ,最新の確認日から1日,coaching,5,True,278 64 138 151,review,supporting,blocker,週次点検を回し直して再現: 案件を紹介しているのに、合わない人も注意点も書いていない,タイトルの方向は coaching（speek・スパトレ）なのに、載っているのは 主ネイティブキャンプ留学／補留学情報館,,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e%e3%82%b3%e3%83%bc%e3%83%81%e3%83%b3%e3%82%b0-3%e3%83%b6%e6%9c%88-%e5%8a%b9%e6%9e%9c-%e4%bd%93%e9%a8%93%e8%ab%87%e3%80%8d%e3%81%ab%e4%b8%a6%e3%81%b6toeic155%e7%82%b9/
37,3,`partial_restructure`（部分再構成）,40,半年の留学にいくらかかるか｜休職と退職を金額で比べる手順,0,0,0.0,False,0,2,True,本文から検出: failure_diagnosis・swappable_estimate（台帳未記入）,最新の確認日から2日,study_abroad,6,True,294 207 281 277 289,pricing,supporting,blocker,週次点検を回し直して再現: 案件を紹介しているのに、合わない人も注意点も書いていない / （控えの旧指摘・2026-08-08時点）: 料金（費用は120万円）があるのに基準日がない / 制度・年齢条件の話があるのに確認日も出典もない / 案件を紹介しているのに、合わない人も注意点も書いていない,,,https://sakura-eigo.com/%e3%80%8c%e7%95%99%e5%ad%a6-%e7%a4%be%e4%bc%9a%e4%ba%ba-%e8%b2%bb%e7%94%a8-%e7%8f%be%e5%ae%9f%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%a6%e3%81%8f%e3%82%8b120%e4%b8%87%e5%86%86%e3%81%a8%e3%81%84%e3%81%86/
235,3,`partial_restructure`（部分再構成）,40,セブ島留学1ヶ月の比較表に、帰国後の列を6本足す,0,0,0.0,True,0,2,True,台帳: 比較表の列の置き換え表（滞在中→帰国後）,最新の確認日から2日,philippines,5,True,283 67 315 272,comparison,supporting,blocker,週次点検を回し直して再現: 案件を紹介しているのに、合わない人も注意点も書いていない / （控えの旧指摘・2026-08-08時点）: 料金（月61000円）があるのに基準日がない / 制度・年齢条件の話があるのに確認日も出典もない,,,https://sakura-eigo.com/%e3%80%8c%e3%82%bb%e3%83%96%e5%b3%b6%e7%95%99%e5%ad%a6-1%e3%83%b6%e6%9c%88-%e4%bd%93%e9%a8%93%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e8%b2%bb%e7%94%a8%e3%83%bb%e3%82%b9%e3%82%b1%e3%82%b8%e3%83%a5/
305,3,`partial_restructure`（部分再構成）,40,ワーホリに要る英語は、点数ではなく渡航初日の5場面で測る,0,0,0.0,True,0,2,True,台帳: 渡航初日の5場面の台本,最新の確認日から2日,workingholiday,6,True,282 238 23 131 149,pricing,supporting,blocker,週次点検を回し直して再現: 案件を紹介しているのに、合わない人も注意点も書いていない,,,https://sakura-eigo.com/working-holiday-english-level-needed/
41,2,`minor_local_issue`（手元で見つかる軽微な指摘）,30,英会話が続かないなら、体力が枯れた日の最低ラインを先に決める,0,0,0.0,False,0,2,True,台帳: 体力3段階の最低ライン表,最新の確認日から1日,eikaiwa,6,True,28 287 273 297 546,howto,supporting,silent,,タイトルの方向は eikaiwa（QQ English・ネイティブキャンプ）なのに、載っているのは 主スパトレ／補スタディサプリ 新日常英会話,,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e4%bc%9a%e8%a9%b1-%e7%b6%9a%e3%81%8b%e3%81%aa%e3%81%84-%e8%a7%a3%e6%b1%ba%e7%ad%96%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e7%bf%92%e6%85%a3%e5%8c%96%e3%81%ae%e3%82%b3%e3%83%84/
64,2,`minor_local_issue`（手元で見つかる軽微な指摘）,30,英語コーチングを契約する前に、卒業後に残るものを聞く12の質問,0,0,0.0,True,0,2,True,台帳: 契約前に投げる12の質問,最新の確認日から1日,coaching,5,True,278 137 138 151,signup_decision,primary_recommendation,blocker,,タイトルの方向は coaching（speek・スパトレ）なのに、載っているのは 主ネイティブキャンプ留学／補留学情報館,,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e%e3%82%b3%e3%83%bc%e3%83%81%e3%83%b3%e3%82%b0-%e6%8c%ab%e6%8a%98-%e3%81%97%e3%81%aa%e3%81%84-%e6%96%b9%e6%b3%95%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e7%9b%ae%e6%a8%99/
277,2,`minor_local_issue`（手元で見つかる軽微な指摘）,30,国内留学・英語合宿を申し込む前に｜帰宅後30日の枠を先に決める,0,0,0.0,False,0,1,True,本文から検出: failure_diagnosis・fit_branch（台帳未記入）,最新の確認日から2日,study_abroad,6,True,37 207 281 289 294,signup_decision,supporting,blocker,,タイトルの方向は study_abroad（ネイティブキャンプ留学・留学情報館）なのに、載っているのは 主スパトレ／補（なし）,,https://sakura-eigo.com/domestic-immersion-english-continuous-learning/
281,2,`minor_local_issue`（手元で見つかる軽微な指摘）,30,留学の効果が帰国後に消えるのは、落ちやすい能力が決まっているから,0,0,0.0,True,0,2,True,台帳: 帰国後に落ちやすい順の表,最新の確認日から1日,study_abroad,6,True,207 294 37 277 289,other,supporting,silent,,タイトルの方向は study_abroad（ネイティブキャンプ留学・留学情報館）なのに、載っているのは 主DMM英会話／補speek,,https://sakura-eigo.com/philippines-english-study-after-return/
282,2,`minor_local_issue`（手元で見つかる軽微な指摘）,30,TOEIC400点台でワーホリに行く前に、点数の外側で確認する3つのこと,0,0,0.0,False,4,1,True,本文から検出: failure_diagnosis・fit_branch（台帳未記入）,最新の確認日から2日,workingholiday,6,True,305 238 23 131 149,other,supporting,silent,,タイトルの方向は workingholiday（ネイティブキャンプ留学・留学情報館）なのに、載っているのは 主スパトレ／補（なし）,,https://sakura-eigo.com/working-holiday-english-anxiety/
286,2,`minor_local_issue`（手元で見つかる軽微な指摘）,30,英語のやり直しは「反応が返るか」で3問だけ判定して決める,0,0,0.0,True,0,2,True,台帳: 反応が返るかの3問判定フロー,最新の確認日から2日,training,8,True,241 19 117 150 288 292 310,other,supporting,silent,,タイトルの方向は training（スパトレ・スタディサプリENGLISH 新日常英会話コース）なのに、載っているのは 主speek／補ネイティブキャンプ,,https://sakura-eigo.com/english-restart-at-30-speaking/
