kind,value,unit,services,has_basedate,post_id,title,url,sentence,needs,confirmation
個人_支出,10万,万,,,277,10万超の国内留学が「点」で終わる理由、帰宅後の30日設計にある,https://sakura-eigo.com/domestic-immersion-english-continuous-learning/,私が10万を払う前に確かめたいのは、その心地よさが解散後の私の暮らしに1グラムでも残るのかどうかだった。,クレジットカード・銀行の明細,
個人_支出,10万,万,,,149,150万の見積もりに入っていない、渡航後に仕事が決まるまでの何ヶ月,https://sakura-eigo.com/%e3%80%8c%e3%82%ab%e3%83%8a%e3%83%80-%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%bb%e7%94%a8-2024%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6150%e4%b8%87%e3%83%bb250%e4%b8%87%e3%81%ae%e8%a6%8b%e7%a9%8d/,学校に通っている3ヶ月、私は月10万から15万の授業料を払いながら、同時に月15万の生活費も溶かしている。,クレジットカード・銀行の明細,
個人_支出,150万,万,,,131,150万用意しても渡航日の英語力がゼロ円扱いされるから貯金が溶ける,https://sakura-eigo.com/%e3%80%8c%e3%82%aa%e3%83%bc%e3%82%b9%e3%83%88%e3%83%a9%e3%83%aa%e3%82%a2-%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%bb%e7%94%a8-%e3%83%aa%e3%82%a2%e3%83%ab%e3%80%8d%e3%81%ab%e4%b8%a6%e3%81%b6/,でもBさんのように、その150万を現地で溶かして帰ってくる自分が、はっきり見える。,クレジットカード・銀行の明細,
個人_支出,15万,万,,,149,150万の見積もりに入っていない、渡航後に仕事が決まるまでの何ヶ月,https://sakura-eigo.com/%e3%80%8c%e3%82%ab%e3%83%8a%e3%83%80-%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%bb%e7%94%a8-2024%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6150%e4%b8%87%e3%83%bb250%e4%b8%87%e3%81%ae%e8%a6%8b%e7%a9%8d/,学校に通っている3ヶ月、私は月10万から15万の授業料を払いながら、同時に月15万の生活費も溶かしている。,クレジットカード・銀行の明細,
個人_支出,16万,万,,,278,卒業後も口が動くのか。月10〜20万の投資を私は5年先まで信じられない,https://sakura-eigo.com/english-coaching-after-graduation/,むしろ月16万も払えば、期間中は意地でも続けるだろうと自分でも思う。,クレジットカード・銀行の明細,
個人_支出,200万,万,,,23,「ワーホリ 貯金 いくら必要」で出た200万に怯えて止まる27歳が、額の前に決め,https://sakura-eigo.com/%e3%80%8c%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%af%e9%87%91-%e3%81%84%e3%81%8f%e3%82%89%e5%bf%85%e8%a6%81%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%9f200%e4%b8%87%e3%81%ab%e6%80%af%e3%81%88%e3%81%a6/,200万という総額に怯えていた私は、稼げばまかなえるはずの後半を、前払いで背負おうとしていたことになる。,クレジットカード・銀行の明細,
個人_支出,22万,万,,,272,30万の留学費より、帰国後に失活する30万が重い理由,https://sakura-eigo.com/philippines-study-abroad-adult-costs/,でも私の家計は、22万が入らないことと32万を払うことを、ほとんど同じ重さで感じる。,クレジットカード・銀行の明細,
個人_支出,32万,万,,,272,30万の留学費より、帰国後に失活する30万が重い理由,https://sakura-eigo.com/philippines-study-abroad-adult-costs/,費用表の32万は「窓口で払う額」であって、私が1ヶ月で失う額ではない,クレジットカード・銀行の明細,
個人_支出,32万,万,,,272,30万の留学費より、帰国後に失活する30万が重い理由,https://sakura-eigo.com/philippines-study-abroad-adult-costs/,でも私の家計は、22万が入らないことと32万を払うことを、ほとんど同じ重さで感じる。,クレジットカード・銀行の明細,
個人_支出,32万,万,,,272,30万の留学費より、帰国後に失活する30万が重い理由,https://sakura-eigo.com/philippines-study-abroad-adult-costs/,4万を削るために睡眠を削って、授業の吸収率が9割から7割に落ちたら、私は32万の授業料の効率を2割落として4万を浮かせたことになる。,クレジットカード・銀行の明細,
個人_支出,40万,万,,,235,帰国後も動き続ける仕組みを、セブ1ヶ月で作れるか、27歳の私が記事に見つけられな,https://sakura-eigo.com/%e3%80%8c%e3%82%bb%e3%83%96%e5%b3%b6%e7%95%99%e5%ad%a6-1%e3%83%b6%e6%9c%88-%e4%bd%93%e9%a8%93%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e8%b2%bb%e7%94%a8%e3%83%bb%e3%82%b9%e3%82%b1%e3%82%b8%e3%83%a5/,でも私が40万払って確かめたいのは、セブで楽しかったかどうかだったっけ。,クレジットカード・銀行の明細,
